region,state,region_key,time,temp_avg,rain_total,humidity_avg,rain_variance,max_temp,max_temp_3d,max_rain_1d,dry_spell_days,temp_lag_7,rain_lag_14,pH,N,P,K,N_class,P_class,K_class,soil_health_index,irrigation_index,rotation_score,fertility_class,state_context,region_context,target_month,target_season,time_step_missing,climate_gap_filled,soil_imputed,geo_confidence,data_confidence,crop_prob_arcanut_processed,crop_prob_arecanut,crop_prob_arhar_tur,crop_prob_banana,crop_prob_black_pepper,crop_prob_cardamom,crop_prob_cashewnut,crop_prob_castor_seed,crop_prob_coconut,crop_prob_cond_spcs_other,crop_prob_coriander,crop_prob_cotton_lint,crop_prob_dry_chillies,crop_prob_dry_ginger,crop_prob_garlic,crop_prob_ginger,crop_prob_gram,crop_prob_groundnut,crop_prob_guar_seed,crop_prob_jowar,crop_prob_maize,crop_prob_mango,crop_prob_mesta,crop_prob_onion,crop_prob_other_fresh_fruits,crop_prob_other_oilseeds,crop_prob_other_vegetables,crop_prob_pineapple,crop_prob_potato,crop_prob_ragi,crop_prob_rapeseed_and_mustard,crop_prob_sannhamp,crop_prob_sesamum,crop_prob_small_millets,crop_prob_sugarcane,crop_prob_sunflower,crop_prob_sweet_potato,crop_prob_tapioca,crop_prob_tobacco,crop_prob_turmeric,crop_prob_wheat
Nicobars,Andaman And Nicobar,andaman and nicobar__nicobars,2018-07,28.31032258064516,0.0,81.60387096774194,0.0,28.66,28.633333333333336,0.0,31,28.610000000000007,0.0,5.5,581.85,21.84,189.32,high,medium,medium,78.74,0.8091,0.786,medium,andaman and nicobar,andaman and nicobar__nicobars,07,kharif,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0551270934122173,0.0,0.0,0.0,0.0,0.9417782375684998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030946690192828,0.0,0.0,0.0
Nicobars,Andaman And Nicobar,andaman and nicobar__nicobars,2018-11,27.859,0.0,81.37166666666667,0.0,28.55,28.475,0.0,30,27.402580645161294,0.0,5.5,581.85,21.84,189.32,high,medium,medium,78.74,0.8012,0.7857,medium,andaman and nicobar,andaman and nicobar__nicobars,11,rabi,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0551270934122173,0.0,0.0,0.0,0.0,0.9417782375684998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030946690192828,0.0,0.0,0.0
Nicobars,Andaman And Nicobar,andaman and nicobar__nicobars,2019-04,29.366,0.0,75.29033333333334,0.0,30.28,30.05333333333333,0.0,30,28.795806451612908,0.0,5.5,581.85,21.84,189.32,high,medium,medium,78.74,0.816,0.7782,medium,andaman and nicobar,andaman and nicobar__nicobars,04,zaid,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0551270934122173,0.0,0.0,0.0,0.0,0.9417782375684998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030946690192828,0.0,0.0,0.0
Anantapur,Andhra Pradesh,andhra pradesh__anantapur,2018-07,27.722580645161297,1.330401647,62.50225806451613,0.026609659860795,28.82,28.776666666666667,0.820759306,31,27.55033333333333,31.835369269,6.766666666666667,337.3,18.49,196.13,medium,medium,medium,73.39,0.85,0.7739,medium,andhra pradesh,andhra pradesh__anantapur,07,kharif,0,0,1,1.0,0.9375,0.0,0.0,0.0,0.9517397393084132,0.0,0.0,0.0,0.0,0.0482602606915867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anantapur,Andhra Pradesh,andhra pradesh__anantapur,2020-07,26.17935483870968,71.878879544,75.21451612903225,27.153295084013585,27.8,27.263333333333332,21.87699709,8,27.636,16.974906351999998,6.766666666666667,337.3,18.49,196.13,medium,medium,medium,73.39,0.6249,0.7894,medium,andhra pradesh,andhra pradesh__anantapur,07,kharif,0,0,1,1.0,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anantapur,Andhra Pradesh,andhra pradesh__anantapur,2021-11,23.88566666666667,156.375176816,85.29833333333332,293.27279759026607,25.38,25.38,94.43499949,7,25.877419354838704,35.977539605000004,6.766666666666667,337.3,18.49,196.13,medium,medium,medium,73.39,0.5763,0.8017,medium,andhra pradesh,andhra pradesh__anantapur,11,rabi,0,0,1,1.0,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prakasam,Andhra Pradesh,andhra pradesh__prakasam,2019-01,23.210967741935484,0.0,65.44548387096775,0.0,25.54,25.346666666666664,0.0,31,24.072903225806453,26.389528750000004,7.0,523.3,21.45,187.12,medium,medium,medium,81.52,0.8292,0.8295,medium,andhra pradesh,andhra pradesh__prakasam,01,rabi,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9147982062780268,0.0,0.0,0.0,0.0,0.085201793721973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prakasam,Andhra Pradesh,andhra pradesh__prakasam,2020-05,34.191935483870964,0.0,46.20483870967742,0.0,37.51,36.28333333333333,0.0,31,31.834333333333337,1.907412035,7.0,523.3,21.45,187.12,medium,medium,medium,81.52,0.8893,0.806,medium,andhra pradesh,andhra pradesh__prakasam,05,zaid,0,0,0,1.0,1.0,0.0,0.0,0.0,0.9523809523809524,0.0,0.0,0.0,0.0,0.0476190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spsr Nellore,Andhra Pradesh,andhra pradesh__spsr nellore,2020-08,28.868387096774192,0.0,76.55548387096773,0.0,29.95,29.686666666666667,0.0,31,29.14225806451613,23.554254216,6.7,404.29,20.1,197.05,medium,medium,medium,78.74,0.821,0.8501,medium,andhra pradesh,andhra pradesh__spsr nellore,08,kharif,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Visakhapatnam,Andhra Pradesh,andhra pradesh__visakhapatnam,2021-09,28.162,188.416774815,85.85866666666666,549.8275722681628,28.77,28.616666666666664,130.1252858,12,28.5,62.360503327,6.766666666666667,337.3,18.49,196.13,medium,medium,medium,73.39,0.6162,0.8024,medium,andhra pradesh,andhra pradesh__visakhapatnam,09,kharif,0,0,1,1.0,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
